,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
148,RAT42LS,3,True,0.0008111000061035156,18223.4202,8.285528839569678e-22,8,10,0,First order condition met
149,TRIGON1,10,True,0.01289224624633789,4.550112480114882e-13,8.186114986393477e-06,24,26,0,First order condition met
150,CERI651ALS,7,False,2.1555051803588867,343.4765352165236,12834.18262244363,4999,5001,0,Exceed max iterations
151,PARKCH,15,False,0.040921926498413086,,,0,2,0,Obj is nan or +/-inf
152,CHNRSNBM,50,True,0.8818149566650391,4.001155496623514e-11,9.440526849653643e-06,1287,1289,0,First order condition met
153,HAIRY,2,True,0.017574071884155273,20.0,2.0984913378620798e-06,44,46,0,First order condition met
154,GROWTHLS,3,True,0.0008540153503417969,3542.14903046,3.8628273262697914e-56,9,11,0,First order condition met
155,DJTL,2,False,0.03720498085021973,-8951.54472374743,0.0033774112379664845,127,128,0,TR radius too small
156,KIRBY2LS,5,False,0.8399312496185303,3.9050739623909094,2.8438342620969963,2687,2688,0,TR radius too small
157,STREG,4,False,1.0753369331359863,4.051542987680504e+19,9001714267.49428,4999,5001,0,Exceed max iterations
158,PALMER6C,8,True,0.006269216537475586,0.016387437836492724,4.822097928112535e-07,24,26,0,First order condition met
159,CERI651CLS,7,False,1.8905141353607178,56.579703037054166,0.09420416135841862,4999,5001,0,Exceed max iterations
160,VESUVIOULS,8,False,3.868445873260498,0.47711542879641505,0.23946971065377917,4999,5001,0,Exceed max iterations
161,TRIGON2,10,True,0.023925065994262695,8.353543198939436,1.1784458374828557e-06,47,49,0,First order condition met
162,LUKSAN12LS,98,False,1.001223087310791,1968.009212805995,5.956578745697836e-05,1387,1388,0,TR radius too small
163,JUDGE,2,True,0.00335693359375,20.482337000486453,2.0301266742424363e-06,10,12,0,First order condition met
164,CLIFF,2,False,0.04934096336364746,2.9116914503184534,1.4138864190778273,90,91,0,TR radius too small
