,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
124,ELATVIDU,2,False,0.012398719787597656,54.75111484527588,9.300839410230343e-05,50,51,51,TR radius too small
125,OSBORNEB,11,True,0.08013081550598145,0.0401377148039046,4.694618526635987e-06,128,130,130,First order condition met
126,HATFLDFL,3,True,0.0015377998352050781,6.657234553131275e-05,4.091696758735017e-06,4,6,6,First order condition met
127,PALMER7C,8,False,0.02479386329650879,0.6019871714294993,4.84772404461928e-05,69,70,70,TR radius too small
128,HYDC20LS,99,False,3.7542738914489746,0.2729861999459548,0.6030099285403435,4999,5001,5001,Exceed max iterations
129,ENSOLS,9,False,0.03005695343017578,788.5396550992155,0.0006659433627677239,53,54,54,TR radius too small
130,CERI651ELS,7,False,1.7096490859985352,23.684009786797105,34.88975531679155,4805,4806,4806,TR radius too small
131,OSBORNEA,5,False,1.1190097332000732,0.05064758439766592,15.074917915613904,4999,5001,5001,Exceed max iterations
132,EGGCRATE,2,True,0.0024030208587646484,9.488197445869446,3.0837917882793895e-06,8,10,10,First order condition met
133,AKIVA,2,True,5.1021575927734375e-05,0.0,0.0,0,1,1,First order condition met
134,LUKSAN14LS,98,False,0.13750886917114258,124.71504831768107,0.02632338347424428,220,221,221,TR radius too small
135,JENSMP,2,False,0.016835927963256836,255.2721295952797,8.464005420244781,71,72,72,TR radius too small
136,THURBERLS,7,False,0.10606002807617188,12159.38985640835,18.42691898284752,239,240,240,TR radius too small
137,FBRAIN3LS,6,False,1.4371788501739502,0.2531093898824432,0.00858617005628365,1029,1030,1030,TR radius too small
138,MISRA1CLS,2,False,0.30405092239379883,0.062056631233190274,5685.397883167446,1457,1458,1458,TR radius too small
139,POWERSUM,4,False,0.008395910263061523,37.431419014930725,0.01094436449056957,39,40,40,TR radius too small
140,ECKERLE4LS,3,True,0.003693103790283203,0.6996960735337252,1.590475987428731e-07,12,14,14,First order condition met
141,BOXBODLS,2,False,0.008906841278076172,9750.338195800781,21.147974988770816,40,41,41,TR radius too small
142,MANCINO,100,False,0.2135028839111328,3.3543642913746636e-10,0.05039964826236762,90,91,91,TR radius too small
143,MEYER3,3,False,0.6778149604797363,30694.305137634277,45857.0466957693,2800,2801,2801,TR radius too small
144,HATFLDFLS,3,True,0.03242611885070801,7.914351509222262e-11,6.822979592995772e-07,106,108,108,First order condition met
145,DMN15103LS,99,False,60.9481840133667,399.86130512629325,118.66120459133269,4999,5001,5001,Exceed max iterations
146,DMN37142LS,66,False,38.3164267539978,235.9323508209735,11.172624434915836,4999,5001,5001,Exceed max iterations
147,SINEVAL,2,True,0.03125619888305664,2.609045199284834e-18,6.881251532178145e-08,102,104,104,First order condition met
148,RAT42LS,3,False,0.003993034362792969,,,9,11,11,Obj is nan or +/-inf
149,TRIGON1,10,True,0.013907909393310547,3.4605038427035806e-13,7.393880217338332e-06,23,25,25,First order condition met
150,CERI651ALS,7,False,0.7065379619598389,347.7917375601828,0.4190915258169329,1747,1748,1748,TR radius too small
151,PARKCH,15,True,0.02063894271850586,0.0,0.0,0,1,1,First order condition met
152,CHNRSNBM,50,False,0.9242050647735596,7.107299186965535e-10,5.5707859217790416e-05,1311,1312,1312,TR radius too small
153,HAIRY,2,True,0.018319129943847656,20.000000298023224,2.1487866790885143e-07,63,65,65,First order condition met
154,GROWTHLS,3,True,0.000926971435546875,3542.1491165161133,0.0,9,11,11,First order condition met
155,DJTL,2,False,0.035344839096069336,-8951.545815870166,333.76930910084343,119,120,120,TR radius too small
156,KIRBY2LS,5,False,0.19890618324279785,322.136716833862,1339223.94716294,635,636,636,TR radius too small
157,STREG,4,False,1.1979897022247314,4.0515428982894625e+19,9001714334.176004,4999,5001,5001,Exceed max iterations
158,PALMER6C,8,True,0.008674860000610352,0.016387442700053434,4.378900714995915e-07,26,28,28,First order condition met
159,CERI651CLS,7,False,2.105822801589966,56.58135798294097,108.34542953272519,4434,4435,4435,TR radius too small
160,VESUVIOULS,8,False,0.1702589988708496,0.4771193270207583,0.10739585700284388,232,233,233,TR radius too small
161,TRIGON2,10,False,0.03296828269958496,6.109228950968741,0.009212622065976676,55,56,56,TR radius too small
162,LUKSAN12LS,98,False,0.4571211338043213,1968.0115298053715,0.20272200796578407,617,618,618,TR radius too small
163,JUDGE,2,True,0.0026998519897460938,20.482336259108706,9.315329684118486e-06,9,11,11,First order condition met
164,CLIFF,2,True,0.02363896369934082,0.19978666202882334,7.905749808480675e-06,93,95,95,First order condition met
