,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
118,HATFLDFLS,3,True,0.033136844635009766,6.168507090832902e-09,9.433223190929575e-05,103,108,98,First order condition met
119,SINEVAL,2,True,0.031665802001953125,2.609042504520979e-18,6.881236329311406e-08,103,108,104,First order condition met
120,RAT42LS,3,False,0.003801107406616211,,,9,13,11,Obj is nan or +/-inf
121,TRIGON1,10,True,0.013641119003295898,3.4605037661870606e-13,7.393880373634959e-06,24,29,25,First order condition met
122,CERI651ALS,7,False,0.3842310905456543,354.7136093573645,30233.328360308085,999,1003,1001,Exceed max iterations
123,PARKCH,15,False,0.06309819221496582,2150.126124609194,25183.559702947543,1,3,1,TR radius too small
124,HAIRY,2,True,0.017818212509155273,20.0,2.1487865120631103e-07,64,69,65,First order condition met
125,GROWTHLS,3,True,0.00102996826171875,3542.14903046,3.862811869696453e-56,10,15,11,First order condition met
126,DJTL,2,True,0.026727914810180664,-8951.54472374743,7.823646740749651e-05,104,110,5,First order condition met
127,KIRBY2LS,5,False,0.31545186042785645,321.6859208132729,2305245.9984678123,999,1007,605,Exceed max iterations
128,STREG,4,False,0.27209901809692383,8.452228237300125e+19,13001713807.033287,999,1001,1001,Exceed max iterations
129,PALMER6C,8,True,0.007387876510620117,0.016387442241008802,4.3441691787906565e-07,27,32,28,First order condition met
130,CERI651CLS,7,False,0.3287050724029541,56.6051561616389,211.05204143853396,999,1011,87,Exceed max iterations
131,VESUVIOULS,8,True,0.4980897903442383,0.47711376893668894,7.103771411208786e-06,720,728,233,First order condition met
132,TRIGON2,10,True,0.02206587791442871,6.10922907623076,1.4993688750940665e-05,48,56,34,First order condition met
133,JUDGE,2,True,0.002691030502319336,20.482337000486265,3.056774000146887e-09,10,15,11,First order condition met
134,CLIFF,2,True,0.02049708366394043,0.19978661367811507,2.0113639200087113e-08,96,105,97,First order condition met
