,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.005682229995727539,8.603752641859238e-10,8.353813942096333e-07,19,21,0,First order condition met
1,CHWIRUT2LS,3,False,0.01936817169189453,513.0480294068652,0.0008281018483496786,79,80,0,TR radius too small
2,PALMER5C,6,True,0.0021266937255859375,2.1280866434545147,7.030074765891219e-11,6,8,0,First order condition met
3,DENSCHNB,2,True,0.003682851791381836,3.7580250870636934e-15,1.7327322146917692e-07,12,14,0,First order condition met
4,GBRAINLS,2,True,0.013396978378295898,28.515858189402834,9.991428265708433e-09,22,24,0,First order condition met
5,MGH10LS,3,False,1.3315792083740234,22481.04685527328,48719370.183266625,4999,5001,0,Exceed max iterations
6,QING,100,False,0.09820008277893066,2.8169911055913223e-14,3.1329753129579084e-06,149,150,0,TR radius too small
7,BOX3,3,True,0.0047948360443115234,1.5897896927779106e-14,1.1747784362220907e-07,16,18,0,First order condition met
8,DENSCHNC,2,True,0.006275177001953125,0.18336165467793752,7.473449729001334e-08,24,26,0,First order condition met
9,LANCZOS3LS,6,True,0.13347101211547852,4.3223352743535595e-08,7.487642317621093e-07,276,278,0,First order condition met
10,GAUSS1LS,8,True,0.025821208953857422,1315.8222432033765,4.646078029919461e-07,69,71,0,First order condition met
11,MGH09LS,4,True,0.056706905364990234,0.000939767230673702,6.720707548642579e-07,153,155,0,First order condition met
12,LANCZOS1LS,6,True,0.0309140682220459,4.228498422418342e-06,5.809137682840407e-07,70,72,0,First order condition met
13,GAUSS3LS,8,True,0.02909684181213379,1244.4846360131564,8.007299560092253e-07,72,74,0,First order condition met
14,DENSCHNA,2,True,0.003922939300537109,3.937060929432623e-17,1.9710920831301012e-08,11,13,0,First order condition met
15,NELSONLS,3,False,0.014529705047607422,12.731348372641909,5027.906103008685,68,69,0,TR radius too small
16,LUKSAN21LS,100,False,3.466283082962036,36.004458967934035,0.3877239969517451,4999,5001,0,Exceed max iterations
17,VANDANMSLS,22,True,0.0075359344482421875,7.799211448800916,1.033772117097981e-07,29,31,0,First order condition met
18,SENSORS,100,True,0.18122506141662598,-2108.53125,6.158455853919565e-07,88,90,0,First order condition met
19,DENSCHND,3,True,0.02588200569152832,1.492530707878172e-08,8.638850967287203e-07,82,84,0,First order condition met
20,DANWOODLS,2,False,0.0001227855682373047,,,0,2,0,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.0014710426330566406,-18.20000000910001,3.9061903366920716e-15,5,7,0,First order condition met
22,CUBE,2,True,0.017180919647216797,3.900393095591415e-15,2.700964326119821e-07,61,63,0,First order condition met
23,MUONSINELS,1,True,0.002165079116821289,51139.12719535319,1.48719436765532e-09,8,10,0,First order condition met
24,DENSCHNE,3,False,0.9915969371795654,0.4941231257483965,0.4176315892317564,4999,5001,0,Exceed max iterations
25,DMN15333LS,99,False,44.94137501716614,151.2338701151145,62.58693897514219,4999,5001,0,Exceed max iterations
26,PALMER8C,8,True,0.01178598403930664,0.15976783349656232,5.4421283387213e-07,26,28,0,First order condition met
27,DIAMON3DLS,99,False,39.508509159088135,496.4167404658021,138.59457589589869,4999,5001,0,Exceed max iterations
28,PALMER5D,4,True,0.0023050308227539062,87.33939475358288,1.0636340619668802e-10,8,10,0,First order condition met
29,EXPFIT,2,True,0.006757974624633789,0.24051059399905833,2.345483991026786e-08,23,25,0,First order condition met
30,HELIX,3,True,0.01270294189453125,1.2771385688528855e-16,1.0959952386175257e-07,36,38,0,First order condition met
31,LSC2LS,3,True,0.15520501136779785,13.358898254928434,9.851641098819894e-07,652,654,0,First order condition met
32,KOWOSB,4,True,0.016872882843017578,0.0003078010048460832,6.148026953052846e-07,44,46,0,First order condition met
33,S308,2,True,0.005766153335571289,0.7731990564929243,6.438065518457269e-08,21,23,0,First order condition met
34,DANIWOODLS,2,True,0.004557132720947266,0.0043173084082913,1.6767220054382324e-07,16,18,0,First order condition met
35,DENSCHNF,2,True,0.005975961685180664,1.2201068388754693e-15,6.245889396439803e-07,18,20,0,First order condition met
36,PALMER4C,8,True,0.0061490535736083984,0.05031068694932469,1.3408173032086153e-08,26,28,0,First order condition met
37,YFITU,3,True,0.06167411804199219,2.4060465910396645e-11,6.657022619284381e-08,216,218,0,First order condition met
38,GAUSS2LS,8,True,0.023190021514892578,1247.528209230998,4.6633922242709944e-07,66,68,0,First order condition met
39,CHWIRUT1LS,3,True,0.01534581184387207,2384.4771393093483,5.007039928314449e-09,61,63,0,First order condition met
40,COOLHANSLS,9,True,0.12179398536682129,6.47392603956804e-10,6.478670431648374e-07,221,223,0,First order condition met
41,HAHN1LS,7,False,2.0946240425109863,3.0205656322059653,386221.5069703636,4999,5001,0,Exceed max iterations
42,HIMMELBB,2,True,0.004122734069824219,8.917869730287936e-23,3.763304180289999e-08,21,23,0,First order condition met
43,VESUVIOLS,8,False,0.3164198398590088,991.410002872594,0.26204494777075926,454,455,0,TR radius too small
