,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.006733894348144531,8.590336379028215e-10,8.34601936941487e-07,19,21,21,First order condition met
1,CHWIRUT2LS,3,False,0.018110990524291992,513.0479000966881,0.693239222515308,67,68,68,TR radius too small
2,PALMER5C,6,True,0.0035600662231445312,2.1280866821762174,2.5167338982775833e-07,7,9,9,First order condition met
3,DENSCHNB,2,True,0.003026723861694336,4.4096628937078666e-14,4.1998393916516843e-07,10,12,12,First order condition met
4,GBRAINLS,2,False,0.029069185256958008,28.51585467025871,0.0515693337906854,48,49,49,TR radius too small
5,MGH10LS,3,False,0.16505122184753418,21737.228024482727,3259666.325035412,621,622,622,TR radius too small
6,QING,100,False,0.0867159366607666,2.453930392221082e-09,0.0014194343644705714,125,126,126,TR radius too small
7,BOX3,3,True,0.0055370330810546875,2.5930142744361867e-10,7.462614682131151e-07,15,17,17,First order condition met
8,DENSCHNC,2,False,0.012943029403686523,0.18336159735918045,2.867803574478652e-06,47,48,48,TR radius too small
9,LANCZOS3LS,6,False,0.04526495933532715,1.5719153514948125e-07,2.26091429798653e-06,103,104,104,TR radius too small
10,GAUSS1LS,8,False,0.037287235260009766,1315.822077033214,0.17685182769461966,88,89,89,TR radius too small
11,MGH09LS,4,False,0.05705690383911133,0.0009146643556050549,1.557709033326229e-05,160,161,161,TR radius too small
12,LANCZOS1LS,6,False,0.026179075241088867,4.2787878431482795e-06,2.796404466154108e-06,66,67,67,TR radius too small
13,GAUSS3LS,8,False,0.043643951416015625,1244.4842581646226,2.256853200272356,95,96,96,TR radius too small
14,DENSCHNA,2,True,0.00360107421875,2.3776925744190913e-13,7.769931563783876e-07,12,14,14,First order condition met
15,NELSONLS,3,False,0.042448997497558594,12.75878542215986,2871.2562016916563,115,116,116,TR radius too small
16,LUKSAN21LS,100,False,3.4240589141845703,35.23082433483333,0.7532986829422772,4999,5001,5001,Exceed max iterations
17,VANDANMSLS,22,True,6.604194641113281e-05,15.000017039477825,0.0,0,1,1,First order condition met
18,SENSORS,100,False,0.17520523071289062,-2108.531482892968,0.002045045348377962,94,95,95,TR radius too small
19,DENSCHND,3,True,0.019031047821044922,1.2391724848494212e-08,8.741510613752608e-07,68,70,70,First order condition met
20,DANWOODLS,2,False,0.00017499923706054688,,,0,2,2,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.004004240036010742,-18.20000055068883,5.242799921263649e-07,8,10,10,First order condition met
22,CUBE,2,False,0.021867036819458008,1.4958110010359791e-12,4.784999903136498e-05,82,83,83,TR radius too small
23,MUONSINELS,1,False,0.011826276779174805,51138.91708866606,0.7199354058246854,45,46,46,TR radius too small
24,DENSCHNE,3,True,0.012056827545166016,3.638679487714342e-15,1.2064292877943515e-07,38,40,40,First order condition met
25,DMN15333LS,99,False,61.70344591140747,159.73367578562636,37.52627204904955,4999,5001,5001,Exceed max iterations
26,PALMER8C,8,False,0.021982908248901367,0.1597678341320261,5.334696543513166e-06,63,64,64,TR radius too small
27,DIAMON3DLS,99,False,46.19544219970703,399.86130512629325,118.66120459133269,4999,5001,5001,Exceed max iterations
28,PALMER5D,4,False,0.013630867004394531,87.33939293026924,1.0473820766970086e-05,43,44,44,TR radius too small
29,EXPFIT,2,False,0.013348102569580078,0.2405104678855423,1.011820628046537e-05,48,49,49,TR radius too small
30,HELIX,3,True,0.014081001281738281,4.1217860178041495e-14,3.437340636566252e-07,43,45,45,First order condition met
31,LSC2LS,3,False,0.0266110897064209,13.87788300961256,0.0004777954008555586,89,90,90,TR radius too small
32,KOWOSB,4,True,0.018101930618286133,0.0003078007170297381,9.588683110858493e-07,42,44,44,First order condition met
33,S308,2,True,0.00772404670715332,0.773199001327157,7.428864107582653e-07,20,22,22,First order condition met
34,DANIWOODLS,2,False,0.011942148208618164,0.004317288250604179,1.0217601862378827e-05,46,47,47,TR radius too small
