,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.003899812698364258,2.3445403898593316e-07,5.604936848631749e-05,14,16,0,First order condition met
1,CHWIRUT2LS,3,False,0.019657373428344727,513.0480294068652,0.0008281018483496786,79,80,0,TR radius too small
2,PALMER5C,6,True,0.0022220611572265625,2.1280866434545147,7.030074765891219e-11,6,8,0,First order condition met
3,DENSCHNB,2,True,0.0028328895568847656,9.104158425145312e-11,1.922126233006863e-05,10,12,0,First order condition met
4,GBRAINLS,2,True,0.01256704330444336,28.51585818940301,9.704246031008367e-05,21,23,0,First order condition met
5,MGH10LS,3,False,1.338514804840088,22481.04685527328,48719370.183266625,4999,5001,0,Exceed max iterations
6,QING,100,True,0.07308292388916016,9.995184574061991e-12,3.685616637452269e-05,120,122,0,First order condition met
7,BOX3,3,True,0.0037407875061035156,1.1796972769578689e-06,5.200791441037165e-05,12,14,0,First order condition met
8,DENSCHNC,2,True,0.005897045135498047,0.1833616549557765,8.253560775692428e-05,23,25,0,First order condition met
9,LANCZOS3LS,6,True,0.022092103958129883,4.260374208660676e-06,8.173273202791354e-06,53,55,0,First order condition met
10,GAUSS1LS,8,True,0.02218008041381836,1315.8222432033767,2.793476579698894e-06,67,69,0,First order condition met
11,MGH09LS,4,True,0.005572080612182617,0.0019345809845201832,3.0262540311702385e-05,16,18,0,First order condition met
12,LANCZOS1LS,6,True,0.03546500205993652,4.228651698755554e-06,7.664015397233821e-05,68,70,0,First order condition met
13,GAUSS3LS,8,True,0.027863740921020508,1244.4846360131564,8.007299560092253e-07,72,74,0,First order condition met
14,DENSCHNA,2,True,0.0028960704803466797,9.69222234440993e-12,9.519871955815147e-06,10,12,0,First order condition met
15,NELSONLS,3,False,0.01400613784790039,12.731348372641909,5027.906103008685,68,69,0,TR radius too small
16,LUKSAN21LS,100,False,3.1379270553588867,36.004458967934035,0.3877239969517451,4999,5001,0,Exceed max iterations
17,VANDANMSLS,22,True,0.004859209060668945,9.623042851177823,3.2303890448074385e-06,16,18,0,First order condition met
18,SENSORS,100,True,0.17183589935302734,-2108.5312499999977,6.154163412856715e-05,85,87,0,First order condition met
19,DENSCHND,3,True,0.019234895706176758,3.6911576839032804e-07,1.963873829510277e-05,71,73,0,First order condition met
20,DANWOODLS,2,False,0.00016808509826660156,,,0,2,0,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.0014641284942626953,-18.20000000910001,3.9061903366920716e-15,5,7,0,First order condition met
22,CUBE,2,True,0.01577615737915039,3.900393095591415e-15,2.700964326119821e-07,61,63,0,First order condition met
23,MUONSINELS,1,True,0.0021588802337646484,51139.12719535319,1.48719436765532e-09,8,10,0,First order condition met
24,DENSCHNE,3,False,0.8952858448028564,0.4941231257483965,0.4176315892317564,4999,5001,0,Exceed max iterations
25,DMN15333LS,99,False,45.318135023117065,151.2338701151145,62.58693897514219,4999,5001,0,Exceed max iterations
26,PALMER8C,8,True,0.01081395149230957,0.15976783349656232,5.4421283387213e-07,26,28,0,First order condition met
27,DIAMON3DLS,99,False,38.75631284713745,496.4167404658021,138.59457589589869,4999,5001,0,Exceed max iterations
28,PALMER5D,4,True,0.0030739307403564453,87.33939475358288,1.0636340619668802e-10,8,10,0,First order condition met
29,EXPFIT,2,True,0.0067729949951171875,0.24051059400288682,1.0423910437604516e-05,22,24,0,First order condition met
30,HELIX,3,True,0.011181116104125977,1.0555076631288309e-11,8.597173696362892e-05,35,37,0,First order condition met
31,LSC2LS,3,True,0.1564619541168213,13.358898255038767,7.372403934826163e-05,651,653,0,First order condition met
32,KOWOSB,4,True,0.015652179718017578,0.00030780106636545834,9.121084803917968e-06,42,44,0,First order condition met
33,S308,2,True,0.0054509639739990234,0.7731990569745555,7.069370761358978e-05,20,22,0,First order condition met
34,DANIWOODLS,2,True,0.0038080215454101562,0.0043173084082913,1.6767220054382324e-07,16,18,0,First order condition met
35,DENSCHNF,2,True,0.004966259002685547,1.2201068388754693e-15,6.245889396439803e-07,18,20,0,First order condition met
36,PALMER4C,8,True,0.006105899810791016,0.05031068694932469,1.3408173032086153e-08,26,28,0,First order condition met
37,YFITU,3,True,0.06615996360778809,2.4060465910396645e-11,6.657022619284381e-08,216,218,0,First order condition met
38,GAUSS2LS,8,True,0.019865036010742188,1247.5282092309988,1.7055231071910746e-05,63,65,0,First order condition met
