,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
0,SISSER,2,True,0.004153728485107422,7.618291949118076e-08,2.4128413962617715e-05,15,18,16,First order condition met
1,CHWIRUT2LS,3,True,0.011755704879760742,513.0480294068657,2.377948080117168e-08,52,58,44,First order condition met
2,PALMER5C,6,True,0.0038237571716308594,2.128086643454532,1.5634477670852334e-07,8,11,9,First order condition met
3,DENSCHNB,2,True,0.0032820701599121094,4.498534519128175e-14,4.324940497121294e-07,11,16,12,First order condition met
4,GBRAINLS,2,True,0.02011871337890625,28.51585818940278,2.5856597731158812e-08,30,40,30,First order condition met
5,MGH10LS,3,False,1.1771767139434814,21741.5837493217,48775.5852178448,4999,5009,593,Exceed max iterations
6,QING,100,True,0.07245683670043945,6.371628330189105e-12,7.399497542486991e-05,113,129,69,First order condition met
7,BOX3,3,True,0.0030319690704345703,1.1826564242789254e-06,4.771584251187408e-05,10,13,11,First order condition met
8,DENSCHNC,2,True,0.0058498382568359375,0.18336165467800528,4.054899994395745e-07,23,30,24,First order condition met
9,LANCZOS3LS,6,True,0.020472049713134766,6.675561009696797e-07,2.5068715678482322e-05,45,50,46,First order condition met
10,GAUSS1LS,8,True,0.029934167861938477,1315.8222432033758,1.6292602527199503e-06,73,81,63,First order condition met
11,MGH09LS,4,True,0.017985820770263672,0.0017510406508455623,3.538194531657523e-05,50,55,51,First order condition met
12,LANCZOS1LS,6,True,0.016445159912109375,4.27888162225357e-06,2.2709339826690637e-05,40,45,41,First order condition met
13,GAUSS3LS,8,False,0.037442922592163086,1244.4846360131567,0.0017136858469398361,96,101,67,TR radius too small
14,DENSCHNA,2,True,0.003314971923828125,3.8117999370045327e-13,9.928199164328244e-07,12,17,13,First order condition met
15,NELSONLS,3,False,0.02128314971923828,19.780771610511703,1292.4697624910734,81,86,45,TR radius too small
16,LUKSAN21LS,100,False,3.1478939056396484,35.23082433483333,0.7532986829422772,4999,5003,5001,Exceed max iterations
17,VANDANMSLS,22,False,0.0001747608184814453,15.000017493088045,2.3200991666503836,1,3,1,TR radius too small
18,SENSORS,100,True,0.1322941780090332,-2108.53125,1.9618422892073706e-05,66,72,54,First order condition met
19,DENSCHND,3,True,0.01739025115966797,1.8538684712515135e-08,1.9562252638659474e-05,65,70,66,First order condition met
20,DANWOODLS,2,False,0.0001380443572998047,,,0,2,2,Obj is nan or +/-inf
21,ZANGWIL2,2,True,0.0017428398132324219,-18.200000009093674,5.653274782183493e-06,6,9,7,First order condition met
22,CUBE,2,True,0.01916217803955078,4.36524280019345e-13,3.778297041606963e-06,74,84,76,First order condition met
23,MUONSINELS,1,True,0.005978107452392578,51138.964297925966,1.541374638236448e-05,21,29,22,First order condition met
24,DENSCHNE,3,True,0.011607885360717773,2.343660995151739e-10,3.061745496169206e-05,37,42,38,First order condition met
25,DMN15333LS,99,False,48.75240707397461,168.27025830317837,61.94202822309896,4999,5009,880,Exceed max iterations
26,PALMER8C,8,True,0.009232044219970703,0.15976783354927984,5.333752680144845e-06,28,33,29,First order condition met
27,DIAMON3DLS,99,False,39.45030903816223,470.95587886866264,2565.3241606774186,4999,5007,562,Exceed max iterations
28,PALMER5D,4,True,0.0027420520782470703,87.33939475358343,5.026463386041223e-07,9,14,10,First order condition met
29,EXPFIT,2,True,0.00996088981628418,0.24051059399948488,1.8413965199561126e-05,29,34,30,First order condition met
30,HELIX,3,True,0.011667966842651367,2.5891441944059052e-14,2.90891832554313e-07,38,45,39,First order condition met
31,LSC2LS,3,True,0.046452999114990234,13.36051872224806,4.790898961154958e-05,161,167,69,First order condition met
32,KOWOSB,4,True,0.012634992599487305,0.00030780124111539893,2.4391787010371417e-05,35,40,36,First order condition met
33,S308,2,True,0.004817008972167969,0.7731990564941973,3.490814478549498e-06,17,22,18,First order condition met
34,DANIWOODLS,2,True,0.006612062454223633,0.004317308408458481,4.925394405226762e-07,20,25,21,First order condition met
35,DENSCHNF,2,True,0.004579067230224609,1.0294509447757996e-15,6.44816951010305e-07,18,23,19,First order condition met
