,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
118,SNAIL,converged,0.010737180709838867,2.1089525984192747e-18,2.9044466670759654e-09,10,12,0,First order condition met
119,LUKSAN16LS,failed,0.21052789688110352,3.5696968772273405,0.00015921289552799607,104,105,0,TR radius too small
120,MISRA1ALS,converged,1.5131189823150635,0.12455138895713935,2.6818172808283075e-07,1927,1929,0,First order condition met
121,HUMPS,converged,0.24114584922790527,1.4629947217660202e-12,5.409348541780137e-07,223,225,0,First order condition met
122,ERRINROS,failed,4.940596103668213,40.11614097851982,0.3033445350061386,1999,2001,0,Exceed max iterations
123,TOINTGOR,failed,0.3094017505645752,1373.9054606636462,1.8946121180148362e-06,127,128,0,TR radius too small
124,ELATVIDU,converged,0.025192975997924805,1.7127803548622054,6.665279697946178e-07,32,34,0,First order condition met
125,OSBORNEB,converged,0.1757340431213379,0.04013773629695804,7.381542459644846e-07,98,100,0,First order condition met
126,HATFLDFL,converged,0.10953807830810547,6.32297270364218e-05,9.349569468952779e-07,83,85,0,First order condition met
127,PALMER7C,converged,0.02974390983581543,0.601987195475239,2.2425650548961805e-07,33,35,0,First order condition met
128,HYDC20LS,failed,6.919219017028809,0.19511344374582726,1.2187704078829233,1999,2001,0,Exceed max iterations
129,ENSOLS,converged,0.06937599182128906,788.5397866669991,9.054785432258366e-07,43,45,0,First order condition met
130,CERI651ELS,converged,2.0342187881469727,23.683716003211448,6.734344902885752e-07,1419,1421,0,First order condition met
131,OSBORNEA,converged,0.15807700157165527,5.4654862450549015e-05,7.364446609849694e-07,126,128,0,First order condition met
132,EGGCRATE,converged,0.014796972274780273,9.488197339106259,3.985357687050161e-09,13,15,0,First order condition met
133,AKIVA,failed,0.0010921955108642578,-inf,,0,2,0,Obj is nan or +/-inf
134,LUKSAN14LS,failed,2.776027202606201,124.69588348434719,2.045458406704828e-06,1144,1145,0,TR radius too small
135,JENSMP,converged,0.03678107261657715,259.5801901300527,1.0921563090277641e-07,44,46,0,First order condition met
136,THURBERLS,failed,1.0356640815734863,5642.708239667105,0.0026423322161125587,621,622,0,TR radius too small
137,FBRAIN3LS,failed,7.800418138504028,0.24584736843491567,0.13630626810639476,1999,2001,0,Exceed max iterations
138,MISRA1CLS,failed,1.8045759201049805,0.04974522310275144,10173.237299867744,1999,2001,0,Exceed max iterations
139,POWERSUM,failed,0.0340118408203125,37.431446699256284,7.171379706960579e-06,47,48,0,TR radius too small
140,ECKERLE4LS,converged,0.008033037185668945,0.6996960949579744,3.822627319827861e-07,5,7,0,First order condition met
141,BOXBODLS,converged,0.0076160430908203125,9771.5,2.1592541088466533e-09,5,7,0,First order condition met
142,MANCINO,failed,0.4333188533782959,7.587540371923735e-11,0.024314501546481463,83,84,0,TR radius too small
143,MEYER3,failed,2.124083995819092,65774.39565623838,4714642.368219534,1999,2001,0,Exceed max iterations
144,HATFLDFLS,converged,0.28165125846862793,6.318923370369624e-05,9.300688743135122e-07,228,230,0,First order condition met
145,DMN15103LS,failed,39.98789715766907,515.306081199404,72.4148857738663,1999,2001,0,Exceed max iterations
146,DMN37142LS,failed,51.98916506767273,253.64477046117116,6.225127623014098,1999,2001,0,Exceed max iterations
147,SINEVAL,converged,0.27661800384521484,2.889569262121466e-14,1.2019553381870748e-07,114,116,0,First order condition met
148,RAT42LS,failed,0.034343719482421875,,,15,17,0,Obj is nan or +/-inf
149,TRIGON1,converged,0.08024311065673828,1.0071019944268046e-14,7.430349733249952e-07,33,35,0,First order condition met
