,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
135,JENSMP,converged,0.04573988914489746,259.5801901300526,1.573595125957033e-08,43,49,44,First order condition met
136,THURBERLS,failed,3.6027231216430664,5646.997420189991,7786.723426256182,1999,2005,127,Exceed max iterations
137,FBRAIN3LS,failed,7.79054594039917,0.24735950732758039,0.3475684884858245,1999,2009,275,Exceed max iterations
138,MISRA1CLS,converged,0.46308016777038574,0.04096683704038149,2.098811469628786e-07,632,638,124,First order condition met
139,POWERSUM,converged,0.03334617614746094,37.43144669925627,9.304662853537593e-07,32,38,33,First order condition met
140,ECKERLE4LS,converged,0.007327079772949219,0.6996960949579404,3.821888912074819e-07,6,9,7,First order condition met
141,BOXBODLS,failed,0.03820204734802246,9771.5,4.883776114184002e-06,41,45,7,TR radius too small
142,MANCINO,converged,0.3488278388977051,8.502941492284529e-20,8.18317769610509e-07,67,75,55,First order condition met
143,MEYER3,failed,2.026808023452759,43436.13741740793,1596400.410746042,1999,2007,72,Exceed max iterations
144,HATFLDFLS,converged,0.3539998531341553,6.313332155000191e-05,9.113238429826896e-07,260,266,240,First order condition met
145,DMN15103LS,failed,74.3412458896637,910.2644397933044,85.4630904693847,1999,2007,422,Exceed max iterations
146,DMN37142LS,failed,61.65634727478027,256.3031401864618,8.643495014774015,1999,2009,479,Exceed max iterations
147,SINEVAL,converged,0.5900647640228271,2.3244557731177216e-18,1.3590766537147263e-07,112,119,113,First order condition met
148,RAT42LS,failed,0.02905583381652832,,,15,19,17,Obj is nan or +/-inf
149,TRIGON1,converged,0.09514498710632324,8.931207667533276e-15,6.039762277981006e-07,32,41,33,First order condition met
150,CERI651ALS,failed,0.00046896934509277344,,,0,2,2,Obj is nan or +/-inf
151,PARKCH,failed,0.1424708366394043,2150.126124609194,25183.559702947543,1,3,1,TR radius too small
152,CHNRSNBM,converged,4.699401140213013,6.380408452281092e-15,8.102229415301458e-07,826,840,763,First order condition met
153,HAIRY,converged,0.055587053298950195,20.0,6.419545586793426e-07,28,33,29,First order condition met
154,GROWTHLS,converged,0.004281044006347656,3542.14903046,1.7045791120809944e-89,16,21,17,First order condition met
155,DJTL,converged,0.44905781745910645,-8951.544723747427,2.531968676230509e-07,108,118,23,First order condition met
156,KIRBY2LS,failed,3.538752794265747,3.905073962390886,1.427004694750218,1020,1031,239,TR radius too small
157,STREG,converged,4.838114023208618,4.865746467926173e-22,5.217664247615725e-10,1949,1955,26,First order condition met
158,PALMER6C,converged,0.15462398529052734,0.016387437837301302,2.297113375117388e-07,57,63,55,First order condition met
159,CERI651CLS,failed,10.128597974777222,56.57976779114862,7.452307201924275,1999,2005,440,Exceed max iterations
160,VESUVIOULS,failed,16.706575870513916,0.47711888558030113,0.23034332342028147,1999,2009,275,Exceed max iterations
161,TRIGON2,failed,0.39469099044799805,4.623590179877806,1.528742547325453e-06,67,76,45,TR radius too small
162,LUKSAN12LS,failed,9.017293691635132,2097.2608525315595,3.9150114166662075e-05,784,795,207,TR radius too small
163,JUDGE,converged,0.18729114532470703,20.482337000486265,7.799486511849017e-10,41,47,41,First order condition met
164,CLIFF,converged,0.3204081058502197,0.19978661367769956,3.9796731848444256e-08,100,107,101,First order condition met
