,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
111,EXP2,converged,0.03186678886413574,2.8089832503546414e-15,2.2084405222046217e-08,13,15,15,First order condition met
112,DIAMON2DLS,failed,42.5587272644043,9958.11919395776,46.14123829111519,1999,2001,2001,Exceed max iterations
113,ERRINRSM,failed,4.755818128585815,38.34969749985612,0.09507248727406141,1999,2001,2001,Exceed max iterations
114,RAT43LS,failed,0.03313398361206055,1076461.5968017578,0.03055572509765625,55,56,56,TR radius too small
115,CLUSTERLS,converged,0.037650108337402344,6.133244736736265e-11,5.592524456993662e-07,36,38,38,First order condition met
116,HEART8LS,failed,0.39862608909606934,5.181635480592888e-13,3.0860664229779326e-05,283,284,284,TR radius too small
117,HATFLDD,converged,0.03486371040344238,6.61986606989573e-08,3.938595678200782e-07,25,27,27,First order condition met
118,SNAIL,converged,0.013446331024169922,2.729501330902065e-14,3.3042409638058683e-07,9,11,11,First order condition met
119,LUKSAN16LS,failed,0.19295406341552734,3.5696958630578592,0.16560427524008817,89,90,90,TR radius too small
120,MISRA1ALS,failed,0.8571248054504395,0.12461384176276624,289.78452783713317,987,988,988,TR radius too small
121,HUMPS,converged,0.6670050621032715,1.5529062555013827e-18,5.57298173462267e-10,633,635,635,First order condition met
122,ERRINROS,failed,5.883493185043335,40.12077502401371,0.1321438324900802,1999,2001,2001,Exceed max iterations
123,TOINTGOR,failed,0.21276187896728516,1373.9054816346925,0.015586778773547584,87,88,88,TR radius too small
124,ELATVIDU,failed,0.05468392372131348,1.7127797454595566,0.0005182726534966072,64,65,65,TR radius too small
125,OSBORNEB,failed,0.23476099967956543,0.04013769831317404,9.987087827292496e-06,142,143,143,TR radius too small
126,HATFLDFL,failed,0.12603306770324707,6.33096005913103e-05,1.4489383296565992e-06,109,110,110,TR radius too small
127,PALMER7C,converged,0.04226875305175781,0.6019872043875409,3.420100580125741e-07,39,41,41,First order condition met
128,HYDC20LS,failed,7.248683214187622,0.19574035841451592,0.28092649248800683,1999,2001,2001,Exceed max iterations
129,ENSOLS,failed,0.10246872901916504,788.539651496103,0.0006196492394601687,74,75,75,TR radius too small
130,CERI651ELS,failed,0.8141708374023438,23.68426751237712,8.250877695874884,523,524,524,TR radius too small
131,OSBORNEA,failed,0.20608997344970703,5.465229736056898e-05,0.00011793665283199478,169,170,170,TR radius too small
132,EGGCRATE,failed,0.04356789588928223,9.488196939229967,8.878130332371096e-06,40,41,41,TR radius too small
133,AKIVA,converged,0.00040793418884277344,0.0,0.0,0,1,1,First order condition met
134,LUKSAN14LS,failed,0.4501502513885498,125.49111206573434,0.005798667719142369,214,215,215,TR radius too small
135,JENSMP,failed,0.07384181022644043,259.58016339316964,0.980397011666355,64,65,65,TR radius too small
136,THURBERLS,failed,0.4209930896759033,5642.673079133034,31.9749333464325,301,302,302,TR radius too small
137,FBRAIN3LS,failed,3.1280479431152344,0.2553758802738386,0.01927497813437,817,818,818,TR radius too small
138,MISRA1CLS,failed,1.277951955795288,0.06288483299385916,34.8059065065735,1342,1343,1343,TR radius too small
139,POWERSUM,failed,0.035965919494628906,37.43142080307007,0.0010315014369552955,47,48,48,TR radius too small
140,ECKERLE4LS,converged,0.011629104614257812,0.6996960734839498,3.822908787860343e-07,5,7,7,First order condition met
141,BOXBODLS,converged,0.005617856979370117,9771.5,4.40738215021425e-31,5,7,7,First order condition met
142,MANCINO,failed,0.3712892532348633,2.943684881577672e-10,0.04758076767078822,81,82,82,TR radius too small
143,MEYER3,failed,2.207919120788574,33256.73181152344,3546197.436488204,1999,2001,2001,Exceed max iterations
144,HATFLDFLS,failed,0.2970848083496094,6.320867669273866e-05,1.0980105890630829e-06,244,245,245,TR radius too small
145,DMN15103LS,failed,63.4608838558197,2784.588215443323,1294.3873771149922,1999,2001,2001,Exceed max iterations
146,DMN37142LS,failed,73.32885003089905,257.7679351721868,3.2272294311113434,1999,2001,2001,Exceed max iterations
147,SINEVAL,converged,0.26149702072143555,1.5277310771121893e-13,2.7678503096503586e-07,111,113,113,First order condition met
148,RAT42LS,failed,0.05327725410461426,,,15,17,17,Obj is nan or +/-inf
149,TRIGON1,converged,0.0765378475189209,2.3903349838463748e-14,8.219640049321128e-07,31,33,33,First order condition met
150,CERI651ALS,failed,0.003870248794555664,,,0,2,2,Obj is nan or +/-inf
151,PARKCH,converged,0.04365682601928711,0.0,0.0,0,1,1,First order condition met
152,CHNRSNBM,failed,6.0101158618927,1.0883473364267433e-09,6.982984093256992e-05,936,937,937,TR radius too small
153,HAIRY,converged,0.09407782554626465,20.000000298023224,6.41954525662887e-07,27,29,29,First order condition met
154,GROWTHLS,converged,0.01105046272277832,3542.1491165161133,0.0,15,17,17,First order condition met
155,DJTL,failed,0.26244187355041504,-8951.546137869358,68.34989767014719,112,113,113,TR radius too small
156,KIRBY2LS,failed,0.5858581066131592,3.905053965474508,1071.8641741781541,230,231,231,TR radius too small
157,STREG,failed,0.10749125480651855,45529.78125000012,426.66263695095716,50,51,51,TR radius too small
158,PALMER6C,failed,0.18654608726501465,0.016387437241163982,0.006797265872287597,72,73,73,TR radius too small
159,CERI651CLS,failed,3.78487491607666,56.58019946701825,58.971843250355555,502,503,503,TR radius too small
160,VESUVIOULS,failed,1.648240089416504,0.47711932593406964,0.16932168555281485,251,252,252,TR radius too small
161,TRIGON2,failed,0.34035396575927734,4.623589862691103,0.0003640872233548225,65,66,66,TR radius too small
162,LUKSAN12LS,failed,3.9877688884735107,2097.2617665745356,0.4734565457259816,438,439,439,TR radius too small
163,JUDGE,failed,0.14427804946899414,20.482336166362074,0.00018631709925729672,54,55,55,TR radius too small
164,CLIFF,converged,0.26479125022888184,0.1997866121055547,8.426369766144126e-08,98,100,100,First order condition met
