problem,prob_dim,funcvals,gradnorm,success,nits,53
HIMMELBB,2,5.124202070529885e-14,1.1244288244171444e-07,True,12,14
CLIFF,2,10.597313242372298,1.4117615698337984,False,36,37
ERRINRSM,50,38.540121033082386,0.2614723880578043,False,999,1001
BEALE,2,1.7007803880304317e-13,2.9194390811037545e-06,True,22,24
HILBERTB,10,3.1899398202729253e-14,8.0069956944702e-07,True,5,7
JENSMP,2,2019.941192014305,0.05886086378465148,False,22,23
HIMMELBH,2,-0.9999999999999742,3.195592147161391e-07,True,9,11
ENGVAL2,3,3.991680756650134e-14,2.3110610658290313e-07,True,45,47
MUONSINELS,1,51135.0527868058,1.2570922081067692e-09,True,8,10
HATFLDFLS,3,2.3146309141433144e-10,4.966362172767065e-07,True,129,131
ZANGWIL2,2,-18.2,3.906190334738976e-15,True,5,7
GROWTHLS,3,3542.14903046,1.723388552161839e-26,True,5,7
SINEVAL,2,2.2832530590538347e-15,1.1412256645948538e-06,True,105,107
GAUSS2LS,8,1247.528209230999,2.235049814008788e-06,True,52,54
LSC1LS,3,7.711852238819957,6.155453879661147e-08,True,77,79
ERRINROS,50,40.35410617612772,0.1656754811511788,False,999,1001
RECIPELS,3,4.719698977951772e-09,5.926932918969348e-06,True,17,19
QING,100,2.2270367162026967e-13,4.790838423670298e-06,True,117,119
LUKSAN14LS,98,124.71504392931382,4.520194827531066e-06,True,266,268
PRICE4,2,1.4889535555438075e-08,6.180038801264795e-06,True,31,33
PALMER6C,8,0.016387421618641797,6.816205821744933e-06,True,18,20
LANCZOS2LS,6,3.7308960702619395e-06,6.608506610876109e-06,True,75,77
BENNETT5LS,3,0.000543512844875676,2.5939079530296867e-07,True,79,81
GULF,3,6.884292134327725e-10,8.22753306902226e-06,True,34,36
PALMER2C,8,0.014368888560244951,7.893945128144888e-07,True,21,23
HUMPS,2,1.920741054629067e-10,6.198094990689196e-06,True,433,435
YFITU,3,1.135789769468517e-09,1.7691503044552786e-06,True,241,243
BARD,3,0.008214877306703165,2.214224434052526e-06,True,15,17
HAIRY,2,20.0,1.9569954405309956e-11,True,66,68
MISRA1BLS,2,0.13758752307087974,11357.733774612507,False,999,1001
HATFLDGLS,25,4.0947072424642615e-12,4.071384980244222e-06,True,64,66
DENSCHNC,2,0.18336165467793444,2.6820977204970514e-08,True,20,22
CHWIRUT2LS,3,513.0480294068653,1.0729604936397716e-09,True,33,35
CHNRSNBM,50,34.33309320068864,0.00010862149925884609,False,999,1001
HATFLDD,3,6.691143030519496e-08,3.0561043871549306e-06,True,27,29
JUDGE,2,20.4823370004863,1.500254507145985e-06,True,11,13
HIMMELBCLS,2,1.3759019106126552e-17,4.590066629252083e-08,True,11,13
POWERSUM,4,37.4314466992564,2.522085651435191e-09,True,11,13
DENSCHND,3,4.614953193674069e-09,4.395475107824547e-06,True,60,62
POWELLSQLS,2,7.861629821204111e-19,1.773319937397974e-07,True,20,22
