problem,prob_dim,funcvals,gradnorm,success,nits,53
MARATOSB,2,-0.5369134971182385,139.61788111480178,False,999,1001
LSC2LS,3,13.359371423503497,1.026491225149766e-06,True,190,192
WATSON,12,1.5699011909725877e-07,1.93296035215507e-06,True,49,51
PALMER1C,8,0.09759799126299604,2.7727537238063903e-07,True,21,23
BROWNBS,2,8.585917621404399e-14,5.860347300767899e-07,True,88,90
SENSORS,100,-2079.0,2.5220093710299404e-05,False,71,72
SSI,3,1.1757256868898772e-05,0.3254301549142018,False,999,1001
MISRA1DLS,2,0.056419295365794056,6.361147013906201e-06,True,912,914
TRIGON1,10,5.221504871128633e-14,2.714509687535321e-06,True,29,31
EXP2,2,7.923138790842742e-12,4.679720090304553e-06,True,17,19
S308,2,0.7731990564936697,2.530623148933286e-06,True,14,16
POWELLBSLS,2,6.18879354049406e-07,5.682820535827963e-06,True,367,369
MISRA1ALS,2,3.7940783033973546,626.9864070316912,False,612,613
GAUSSIAN,3,1.1484174445666464e-08,7.566704471792154e-06,True,4,6
LUKSAN17LS,100,0.49316131457443474,0.0028868714099465997,False,999,1001
ALLINITU,4,5.744384910320564,2.223786970656454e-06,True,18,20
WAYSEA1,2,5.966686311036668e-14,4.551579967883533e-07,True,41,43
HATFLDE,3,5.120415521264696e-07,3.881433807778725e-06,True,26,28
LUKSAN11LS,100,166.0170015193525,50.66270216971547,False,999,1001
RAT43LS,4,1076461.5963733331,2.0463630789890885e-12,True,5,7
SNAIL,2,1.587515558763277e-12,2.5199376483977006e-06,True,208,210
DANIWOODLS,2,0.004317308408293129,1.1808392437759054e-06,True,17,19
RAT42LS,3,18223.4202,8.285528839569678e-22,True,4,6
CHNROSNB,50,1.6693049939691661e-09,0.00025087245997179966,False,999,1001
KIRBY2LS,5,3.9621279301863037,10807.695933517856,False,999,1001
BRKMCC,2,0.1690426791967305,3.850303056491981e-06,True,3,5
LUKSAN21LS,100,86.03317295043776,1.470452193917525,False,999,1001
HIMMELBG,2,7.272045579186308e-13,2.4315099239661372e-06,True,13,15
LUKSAN16LS,100,3.5696970511742574,0.00010778681134250422,False,67,68
PALMER5C,6,2.128086666055105,6.479879771985648e-11,True,6,8
MANCINO,100,9.549773932013987e-11,0.027432284332661285,False,61,62
THURBERLS,7,5642.7082396669075,0.02348100406159342,False,314,315
CLUSTERLS,2,1.7347110579948897e-10,2.7460926129944757e-06,True,21,23
PALMER4C,8,0.050310695820733956,2.8189040912251978e-08,True,21,23
LANCZOS1LS,6,3.73024472097273e-06,9.085899969133266e-06,True,69,71
DEVGLA2,5,,,False,18,20
CHWIRUT1LS,3,2384.4771393093492,6.333565642284669e-09,True,36,38
PALMER3C,8,0.019537638513104232,3.885757808678014e-08,True,22,24
LANCZOS3LS,6,4.330035752050073e-06,2.990395245674507e-06,True,45,47
WAYSEA2,2,4.849948888436706e-12,7.786964044432348e-07,True,36,38
EXPFIT,2,0.24051059399905955,1.5734082476578915e-07,True,18,20
DEVGLA1,4,,,False,0,2
BOX3,3,4.511653293909922e-12,3.403657970253025e-07,True,16,18
MEXHAT,2,-0.04000999999999995,3.6559252555649145e-06,True,61,63
PALMER8C,8,0.1597680634728081,4.082049877326328e-07,True,22,24
BROWNDEN,4,85822.2016263563,1.2409315793843417e-10,True,30,32
LOGHAIRY,2,0.1823215567939546,6.49540094314771e-08,True,376,378
HILBERTA,2,1.6807214612452108e-12,2.0554993529896867e-06,True,8,10
ELATVIDU,2,54.75111864223103,1.2952635063855913e-10,True,17,19
DENSCHNB,2,3.78216112086839e-15,1.7196459214920466e-07,True,13,15
MGH17LS,5,1.1060265526457516,9.705152306428431e-05,False,27,28
DENSCHNF,2,1.5292591835894693e-14,3.04577535587816e-06,True,14,16
DENSCHNA,2,2.5244346582492903e-15,6.220893784950048e-08,True,10,12
GAUSS3LS,8,1841.2709263969643,148642.83979753222,False,54,55
HIMMELBF,4,318.5717487911231,1.8852212426984184e-06,True,33,35
PRICE3,2,1.205931382747745e-14,2.0928360622806524e-06,True,22,24
MGH09LS,4,0.0009295838209138121,1.982189341600289e-06,True,134,136
BIGGS6,6,3.5707254787343373e-07,6.6087215925119996e-06,True,357,359
CUBE,2,6.00757113081879e-15,1.5472782744132108e-06,True,65,67
LUKSAN15LS,100,3.5696970511740584,7.504276766133405e-05,False,64,65
KOWOSB,4,0.0003078009759506724,1.4267573667999656e-06,True,37,39
HATFLDFL,3,6.657304109730559e-05,4.086987250785557e-06,True,4,6
PALMER7C,8,0.6019856723139548,8.843089436638121e-07,True,27,29
PALMER5D,4,87.33939952784864,2.1335062394975567e-10,True,9,11
GAUSS1LS,8,1315.822243203377,0.00040829112462239023,False,59,60
LUKSAN12LS,98,1853.3334989298514,0.004644569843027358,False,999,1001
ROSENBR,2,3.10762463418857e-16,7.919200620737513e-08,True,59,61
BOXBODLS,2,9750.338648150127,21.14936813424872,False,24,25
EGGCRATE,2,9.488197339106259,9.324023595407798e-08,True,8,10
DENSCHNE,3,0.4941232375975337,0.41763152464991493,False,999,1001
STREG,4,8.452228694676449e+19,13001714267.49292,False,999,1001
