problem,prob_dim,funcvals,gradnorm,success,nits,8,11,17,24,53
CLUSTERLS,2,2.0365587700358016e-09,2.6865408075265618e-06,True,32,20,8,5,2,6
PALMER4C,8,0.05031069660102574,5.129345698418767e-07,True,112,22,19,26,40,21
LANCZOS1LS,6,4.223896660183237e-06,8.280499362018904e-06,True,93,14,18,60,2,10
DEVGLA2,5,,,False,37,39,0,0,0,4
CHWIRUT1LS,3,2384.4771393093483,0.0014724501987425375,False,65,39,2,2,2,28
PALMER3C,8,0.019537638513103233,8.838656636767973e-08,True,79,23,6,29,2,33
LANCZOS3LS,6,4.078594279543505e-06,3.78684317034156e-06,True,94,13,15,32,28,17
WAYSEA2,2,1.4183588876379112e-13,7.084969344708368e-07,True,40,7,6,26,2,10
EXPFIT,2,0.2405105939990583,2.1180873109083625e-07,True,34,8,7,18,2,14
DEVGLA1,4,,,False,0,2,0,0,0,0
BOX3,3,1.4304694894926248e-12,7.139071678376748e-07,True,41,14,7,5,16,10
MEXHAT,2,-0.040010000000000004,1.7795400723100323e-07,True,69,14,2,2,26,45
PALMER8C,8,0.1597680635054415,5.96325862761313e-08,True,113,18,2,25,2,78
BROWNDEN,4,85822.2016263563,6.356611181367901e-07,True,40,24,3,2,7,18
LOGHAIRY,2,5.9735107421875,0.0003424207620511723,False,999,2,3,3,993,8
HILBERTA,2,1.6208448772062864e-13,3.1968554407463716e-07,True,15,13,2,2,2,2
ELATVIDU,2,54.75111864223102,3.4090687764225034e-07,True,24,15,2,5,3,10
DENSCHNB,2,1.138387753966737e-13,6.808812641317955e-07,True,15,9,4,3,2,6
MGH17LS,5,1.0224320299822827,2.577382840043355e-06,True,37,15,3,8,11,11
DENSCHNF,2,6.4695191265359615e-15,1.9102681451712177e-06,True,24,11,5,4,6,10
DENSCHNA,2,1.1709137309621278e-14,2.1957065357593983e-07,True,21,16,4,3,2,4
GAUSS3LS,8,1244.4846360131564,0.00030066829864201533,False,86,9,2,9,49,38
HIMMELBF,4,318.5717488056565,5.340795640930349e-06,True,60,23,3,3,27,18
PRICE3,2,2.7126576868652743e-18,4.146284193137235e-08,True,38,16,12,10,2,10
MGH09LS,4,0.0009268441249394524,9.92440026501995e-07,True,164,18,2,143,2,10
BIGGS6,6,1.5118926750480674e-07,2.568425561562665e-06,True,453,23,7,246,178,10
CUBE,2,8.04086716072696e-14,1.7926257940116387e-07,True,68,9,35,17,9,13
LUKSAN15LS,100,3.569697051175685,0.0002495183830448109,False,86,8,3,28,14,52
KOWOSB,4,0.0003078048801367885,6.77272747296671e-06,True,73,14,17,37,6,10
HATFLDFL,3,6.65870905420583e-05,4.635983535353876e-06,True,19,3,4,10,2,12
PALMER7C,8,0.6019856723141886,5.238410095910872e-07,True,77,23,19,14,2,33
PALMER5D,4,87.33939952784877,1.6340720035904144e-11,True,39,20,6,9,2,14
GAUSS1LS,8,1315.822243203377,4.758067363001137e-07,True,55,8,2,13,16,36
LUKSAN12LS,98,2176.4514388546727,0.00023402916772778884,False,999,17,9,2,95,892
ROSENBR,2,1.287063658144745e-13,1.04528579771894e-06,True,56,3,8,44,3,10
BOXBODLS,2,1168.008876555552,6.497315062055671e-07,True,64,23,30,5,6,12
EGGCRATE,2,9.488197339106259,3.40028554986434e-08,True,18,8,3,6,2,11
DENSCHNE,3,2.4258368567185135e-15,9.850556605593116e-08,True,57,14,5,3,36,10
STREG,4,8.502962452671775e+19,13040676709.95012,False,999,13,3,3,3,989
