problem,prob_dim,funcvals,gradnorm,success,nits,8,13,18,23,28,33,38,43,48,53
LUKSAN11LS,100,166.97197151184082,43.24507010464772,False,999,6,3,2,50,940,0,0,0,0,14
RAT43LS,4,1076461.5963733331,7.958078640513122e-13,True,30,13,2,7,5,0,2,2,2,2,12
SNAIL,2,1.06747607026477e-18,2.0663746749280676e-09,True,179,7,6,161,2,2,2,2,2,2,10
DANIWOODLS,2,0.004317308408291807,6.03104915841797e-07,True,29,5,10,6,4,1,2,2,2,2,12
RAT42LS,3,18223.4202,7.04764930325074e-22,True,13,6,2,2,2,2,2,2,2,2,4
CHNROSNB,50,3.3754045071152095e-09,0.00020201307381138126,False,999,36,3,421,231,142,168,0,0,0,36
KIRBY2LS,5,6.678549766540527,905337.1878647337,False,999,27,6,22,946,0,0,0,0,0,12
BRKMCC,2,0.16904267919647956,3.696482960760165e-07,True,22,8,4,3,3,2,2,2,2,2,10
LUKSAN21LS,100,85.68914079666138,0.783301513237469,False,999,2,3,16,29,951,0,0,0,0,14
HIMMELBG,2,3.064110929538524e-17,1.5670525042681126e-08,True,14,2,6,2,2,2,2,2,2,2,6
LUKSAN16LS,100,3.5696970511738964,2.1453672972953177e-06,True,127,9,6,12,14,9,33,14,15,6,53
PALMER5C,6,2.12808666605519,9.818537392616509e-07,True,47,15,2,2,15,2,5,4,2,2,20
MANCINO,100,5.20648266108321e-20,6.635655740615856e-07,True,80,32,6,2,2,18,2,2,15,2,28
THURBERLS,7,5642.708239666915,0.01833321800181581,False,433,15,2,15,28,307,10,30,3,5,53
CLUSTERLS,2,2.206767560699778e-10,9.034300934886243e-07,True,29,20,4,2,2,2,2,2,2,2,4
PALMER4C,8,0.050310697301615075,7.067478518183246e-07,True,95,22,14,2,32,3,10,2,2,6,31
LANCZOS1LS,6,1.643018226113081e-07,2.30453205677796e-06,True,201,14,38,3,24,69,3,15,7,4,40
DEVGLA2,5,,,False,37,39,0,0,0,0,0,0,0,0,4
CHWIRUT1LS,3,2384.477139309348,0.001167192842350182,False,80,39,2,2,2,10,3,5,10,2,23
PALMER3C,8,0.019537638671667433,5.819260304066764e-07,True,99,23,19,2,2,41,5,2,2,4,26
LANCZOS3LS,6,4.108884233642692e-06,4.522619830549454e-06,True,92,13,16,59,0,2,2,2,2,2,10
WAYSEA2,2,4.072520691745218e-14,7.629275783741437e-08,True,47,7,9,26,1,2,2,2,2,2,10
EXPFIT,2,0.24051059399905841,3.6311285031547725e-07,True,37,8,11,6,8,1,2,2,2,2,14
DEVGLA1,4,,,False,0,2,0,0,0,0,0,0,0,0,0
BOX3,3,1.760490647369525e-11,4.4622086003670853e-07,True,40,14,6,15,2,2,2,2,2,2,8
MEXHAT,2,-0.04000999999999998,5.057543793963631e-07,True,86,14,2,2,29,15,21,2,2,2,30
PALMER8C,8,0.15976806425284407,4.7665670261441127e-07,True,85,18,2,21,2,2,33,2,2,2,23
BROWNDEN,4,85822.20162635633,6.5460087912844285e-06,True,56,24,3,2,6,2,2,12,2,2,31
LOGHAIRY,2,0.1823215567939546,1.1558824607993153e-10,True,476,2,2,2,466,1,2,2,2,2,12
HILBERTA,2,1.6208448772062864e-13,3.1968554407463716e-07,True,20,13,2,2,2,2,2,2,2,2,2
ELATVIDU,2,54.75111864223102,5.659794000540326e-07,True,36,15,6,6,3,2,2,1,2,2,16
DENSCHNB,2,9.046955578492765e-14,6.604833455074554e-07,True,20,9,5,2,2,2,2,2,2,2,6
MGH17LS,5,1.0224320267097444,5.208742886195076e-06,True,51,15,6,17,3,3,2,2,3,3,17
DENSCHNF,2,9.152528406280745e-17,1.4749589774530332e-07,True,31,11,7,5,5,0,2,2,2,2,12
DENSCHNA,2,8.253204478191983e-15,1.8240932086956302e-07,True,24,16,3,2,2,2,2,2,2,2,4
GAUSS3LS,8,1244.4846360131562,0.0009253038036782622,False,95,9,4,5,45,2,2,2,7,9,41
HIMMELBF,4,318.57174879330654,4.26845327890655e-06,True,62,23,5,2,26,4,0,2,0,2,17
PRICE3,2,4.6638354019383296e-17,1.277680635771388e-07,True,46,16,15,9,2,2,2,2,2,2,12
MGH09LS,4,0.0009279843205265946,4.3301009490001847e-07,True,180,18,4,147,8,1,2,2,2,2,10
BIGGS6,6,1.4484842509827875e-07,5.446174849119731e-06,True,406,23,54,317,3,3,3,2,4,2,12
CUBE,2,2.1200624229105954e-12,9.2067045265094e-07,True,67,9,21,17,16,1,2,2,2,2,16
LUKSAN15LS,100,3.5696970511738995,2.8313641379478624e-06,True,116,8,3,29,3,17,18,7,20,12,40
KOWOSB,4,0.0003078009789696102,9.883177549404822e-07,True,69,14,31,6,14,2,2,2,2,2,10
HATFLDFL,3,6.658042261019714e-05,5.912462140900262e-06,True,24,3,8,5,2,3,2,2,2,2,12
PALMER7C,8,0.601985678998426,9.347134841236925e-05,False,124,23,13,3,2,36,2,2,35,2,35
PALMER5D,4,87.33939952784934,9.644291213315796e-07,True,58,20,7,2,2,20,5,2,2,2,14
GAUSS1LS,8,1315.8222432033774,3.875106123669449e-07,True,95,8,4,8,37,13,2,4,6,9,42
LUKSAN12LS,98,2176.4514388545676,0.0001001362035404002,False,590,17,10,3,108,33,141,58,57,113,93
ROSENBR,2,5.596893193788172e-16,2.8593908814616327e-07,True,48,3,23,17,2,2,2,2,2,2,14
BOXBODLS,2,1168.0088765555527,6.059296701109886e-07,True,71,23,27,5,2,9,3,1,2,2,16
EGGCRATE,2,9.488197339106259,4.448754343289425e-10,True,23,8,3,7,1,2,2,2,2,2,10
DENSCHNE,3,4.4199763321502714e-18,4.204747941876402e-09,True,54,14,5,3,28,2,2,2,2,2,10
STREG,4,8.508179523374678e+19,13044676709.961502,False,999,13,2,3,3,2,3,975,0,0,14
