problem,prob_dim,funcvals,gradnorm,success,nits,11,24,53
LSC2LS,3,13.356149609354741,1.1605344232081054e-06,True,216,27,43,154
WATSON,12,1.195797110448158e-07,1.0289136941716713e-06,True,77,18,59,13
PALMER1C,8,0.09759799126322656,3.49195111931367e-07,True,146,32,96,26
BROWNBS,2,3.261935535049711e-13,1.150321980555966e-06,True,132,12,72,56
SENSORS,100,-2088.28125,6.30143133175224e-07,True,66,9,27,38
SSI,3,3.3871152168312525e-05,9.534587181859664e-06,True,609,18,370,235
MISRA1DLS,2,0.05641929528264386,1.5581532361162957e-05,False,907,24,3,889
TRIGON1,10,8.862703781159055e-13,8.986400619377126e-06,True,35,3,29,13
EXP2,2,1.8684433193626082e-14,8.138104766002672e-08,True,24,23,2,6
S308,2,0.7731990564929418,3.722938593173801e-07,True,17,14,4,6
POWELLBSLS,2,1.7858147033721151e-06,5.078236030037903e-06,True,384,6,278,118
MISRA1ALS,2,2.4321277141571045,134147.3593750937,False,999,18,983,8
GAUSSIAN,3,1.1279359122361726e-08,5.182686564028257e-07,True,5,2,4,6
LUKSAN17LS,100,0.4931614699527107,0.0034142671807367592,False,999,19,52,944
ALLINITU,4,5.744384910320348,4.802220337712501e-07,True,18,5,14,6
WAYSEA1,2,2.2590133733023124e-14,1.4475432328444868e-06,True,55,13,43,8
HATFLDE,3,5.120645212734793e-07,7.976337739599304e-07,True,36,17,20,6
LUKSAN11LS,100,176.29587758100558,39.226570156771324,False,999,6,23,980
RAT43LS,4,1076461.5963733331,7.958078640513122e-13,True,21,14,8,7
SNAIL,2,3.793801844089391e-15,1.2318770373059706e-07,True,192,16,177,6
DANIWOODLS,2,0.0043173084082910535,3.529040468783116e-08,True,16,5,12,8
RAT42LS,3,18223.4202,9.258181118596008e-22,True,6,6,2,4
CHNROSNB,50,3.5828729540685174e-09,0.0003227911245321323,False,999,28,597,392
KIRBY2LS,5,3.9050739623909143,0.48726049259022264,False,515,37,409,86
BRKMCC,2,0.16904267919645513,6.423134427707041e-07,True,10,9,2,6
LUKSAN21LS,100,84.20167702490693,0.43059206506847797,False,999,9,52,948
HIMMELBG,2,1.4656465087076533e-14,3.607894369003673e-07,True,16,16,2,4
LUKSAN16LS,100,3.5696970511758406,0.00032009074649736775,False,70,9,24,48
PALMER5C,6,2.1280866660551316,9.172894386385755e-07,True,30,15,11,14
MANCINO,100,1.7387885492762417e-19,1.1675591767799746e-06,True,49,28,11,20
THURBERLS,7,5642.708239666922,0.00865745135407133,False,266,15,185,77
CLUSTERLS,2,4.859055728808754e-10,1.1956576763814141e-06,True,23,21,4,4
PALMER4C,8,0.05031070247444773,4.026366514343602e-06,True,51,26,22,15
LANCZOS1LS,6,4.286396055932818e-06,6.981117647855759e-07,True,73,26,48,6
DEVGLA2,5,1.4258186969861932e-12,9.885907545415078e-06,True,126,15,110,17
CHWIRUT1LS,3,2384.534294462222,22206.94277929593,False,41,39,3,4
PALMER3C,8,0.019537639086250808,3.7972842356758676e-06,True,54,23,27,16
LANCZOS3LS,6,3.353631664207996e-06,6.946433036701311e-06,True,132,23,105,11
WAYSEA2,2,3.5443735634431067e-16,6.540691702555174e-09,True,36,13,23,9
EXPFIT,2,0.2405105939990585,3.5705146903285395e-09,True,25,7,18,10
DEVGLA1,4,,,False,0,2,0,0
BOX3,3,2.708377070370943e-13,6.330629259150644e-07,True,25,19,7,6
MEXHAT,2,-0.040010000000000004,1.7795400723100323e-07,True,65,14,26,41
PALMER8C,8,0.15976806347501812,1.823546095912887e-07,True,223,22,22,189
BROWNDEN,4,85822.2016263563,5.02808592737664e-06,True,36,26,5,15
LOGHAIRY,2,5.988306045532227,0.0024404616278236126,False,999,2,999,4
HILBERTA,2,2.582675485796332e-15,2.0255257662285858e-08,True,13,13,2,4
ELATVIDU,2,54.75111864223102,8.549888492022392e-11,True,29,16,13,8
DENSCHNB,2,2.5466332671520122e-14,4.438955934691553e-07,True,14,9,6,6
MGH17LS,5,1.1060359771183488,5.270155460033875e-06,True,23,16,9,6
DENSCHNF,2,3.1095885292960856e-22,4.32852401098958e-10,True,27,8,19,10
DENSCHNA,2,5.592158294170527e-16,5.159588067465311e-08,True,14,13,3,2
GAUSS3LS,8,1244.4846360131564,0.00030066829864201533,False,74,8,49,28
HIMMELBF,4,318.5717487911255,2.4225397226026614e-06,True,57,24,4,37
PRICE3,2,4.565557339191982e-16,1.5526702022428533e-07,True,26,25,3,4
MGH09LS,4,0.000929266819141544,8.869029461879759e-07,True,176,18,159,7
BIGGS6,6,1.1164467714259924e-07,9.371557373706694e-06,True,316,26,291,6
CUBE,2,1.6290820513736937e-12,8.069257039378625e-07,True,67,9,59,9
LUKSAN15LS,100,3.56969705117465,0.0001685779249030342,False,69,8,32,40
KOWOSB,4,0.000307801018185759,3.7216591104177414e-06,True,44,27,18,6
HATFLDFL,3,6.657407607757763e-05,4.3949863826283614e-06,True,7,5,3,6
PALMER7C,8,0.6019856728265748,3.531398502542958e-07,True,63,31,27,15
PALMER5D,4,87.33939952785988,4.895985553551649e-06,True,33,21,11,9
GAUSS1LS,8,1315.822243203377,6.192423234152011e-07,True,69,8,49,24
LUKSAN12LS,98,1853.3334988830245,0.0004489940501706312,False,999,14,229,770
ROSENBR,2,6.767845791206857e-14,4.2902726321490745e-06,True,69,11,59,10
BOXBODLS,2,1168.0088765555533,9.732482240547925e-10,True,53,19,34,8
EGGCRATE,2,9.488197339106263,7.137650233642464e-07,True,16,9,7,8
DENSCHNE,3,1.523322559750572e-16,2.4684590514587657e-08,True,51,16,36,6
STREG,4,8.495139849252738e+19,13034676711.950119,False,999,13,3,991
