problem,prob_dim,funcvals,gradnorm,success,nits,11,24,53
HIMMELBB,2,3.097058939748153e-14,3.680104159473848e-08,True,17,17,2,4
CLIFF,2,0.19978661367771247,1.0141181235751518e-06,True,67,34,15,26
ERRINRSM,50,38.53481438944991,0.36209938470747144,False,999,42,79,892
BEALE,2,6.864470108126885e-13,6.870834486782967e-07,True,21,9,12,7
HILBERTB,10,1.3453344586383462e-14,5.618950070287596e-07,True,12,12,2,4
JENSMP,2,259.5801877059704,9.707177670326675e-06,True,30,10,3,25
HIMMELBH,2,-0.9999999999999378,4.980811734796159e-07,True,19,15,4,8
ENGVAL2,3,3.994184346214433e-13,5.457324891502063e-07,True,39,16,24,11
MUONSINELS,1,51133.95480809128,5.1598135542008094e-08,True,13,3,11,8
HATFLDFLS,3,2.3875403210976653e-11,3.0132354239472586e-07,True,142,17,126,6
ZANGWIL2,2,-18.19999999999962,1.3359765867422147e-06,True,3,2,2,6
GROWTHLS,3,3542.14903046,1.619603266849818e-26,True,7,7,2,4
SINEVAL,2,6.1243406774349686e-15,5.537880288354986e-08,True,121,8,114,8
GAUSS2LS,8,9071.36296412296,23121.974992753727,False,25,24,2,4
LSC1LS,3,7.711852238819946,1.665624218194751e-07,True,83,38,44,9
ERRINROS,50,40.34732593400765,0.344103843746504,False,999,18,74,919
RECIPELS,3,2.46512577348235e-10,2.774066009946308e-07,True,36,34,4,4
QING,100,1.0112268014702143e-13,9.964269971895406e-06,True,107,20,35,68
LUKSAN14LS,98,124.69586189129387,7.590828822562059e-06,True,234,31,44,169
PRICE4,2,1.3637024608258124e-09,2.428310216103019e-07,True,20,20,1,6
PALMER6C,8,0.016387421816938905,1.0111789216265437e-06,True,59,22,33,14
LANCZOS2LS,6,4.2603901751306594e-06,5.835843118032943e-06,True,48,26,23,6
BENNETT5LS,3,0.0005389414206054347,9.608912230221991e-06,True,53,19,31,13
GULF,3,7.317700667173515e-12,5.758677775194463e-08,True,86,16,71,8
PALMER2C,8,0.014368888560306447,5.32816087822851e-05,False,81,28,29,33
HUMPS,2,7.283275135806083e-17,3.816615027958286e-09,True,424,18,329,87
YFITU,3,6.908664787835405e-13,8.658366649207828e-07,True,333,5,273,67
BARD,3,0.00821487730671632,8.530902794489467e-07,True,21,19,3,10
HAIRY,2,20.0,8.336611317753718e-13,True,50,6,45,9
MISRA1BLS,2,0.13523614406585693,11250.83105468781,False,999,24,977,8
HATFLDGLS,25,6.88289699674738e-12,3.5283743017165067e-06,True,57,10,48,8
DENSCHNC,2,0.1833616546779696,1.260389575304505e-06,True,22,11,12,6
CHWIRUT2LS,3,513.0563897431723,3528.0174122045387,False,42,41,2,4
CHNRSNBM,50,34.33309319961954,4.849019602382931e-05,False,999,18,226,765
HATFLDD,3,6.626472400574981e-08,6.433937080110712e-07,True,27,15,13,6
JUDGE,2,20.482337000486265,1.0300441686905239e-10,True,20,9,11,8
HIMMELBCLS,2,2.779836712568818e-16,1.3597669216819692e-07,True,12,10,4,4
POWERSUM,4,37.431446699256334,9.92824652712443e-07,True,19,12,8,7
DENSCHND,3,1.4974553156826353e-08,8.79558706280368e-06,True,52,35,18,6
POWELLSQLS,2,9.105545418952505e-14,2.2494365552006224e-07,True,23,9,15,10
MARATOSB,2,-0.13441251667301726,9.200683656753204,False,999,9,18,984
