problem,prob_dim,funcvals,gradnorm,success,nits,24
DENSCHNA,2,1.050033844596232e-11,7.894409021527025e-06,True,8,10
GAUSS3LS,8,1244.484130859375,2.9160593228387093,False,97,98
HIMMELBF,4,318.5715026855469,0.0015064340394137536,False,52,53
PRICE3,2,2.220446049250313e-14,3.6083749450867007e-06,True,24,26
MGH09LS,4,0.0003075060376431793,1.126439583173455e-06,True,348,350
BIGGS6,6,4.258244956645285e-08,7.545909444841774e-06,True,351,353
CUBE,2,5.293543381412746e-13,3.8489807260695814e-05,False,67,68
LUKSAN15LS,100,3.569692850112915,0.08936228774710214,False,54,55
KOWOSB,4,0.0003078006557188928,6.548946510088166e-07,True,32,34
HATFLDFL,3,6.657235644524917e-05,4.091887643241821e-06,True,4,6
PALMER7C,8,0.6031396389007568,2.3923595176871606,False,242,243
PALMER5D,4,87.33934783935547,0.006761419192979464,False,30,31
GAUSS1LS,8,1315.82177734375,52.677866735504374,False,58,59
LUKSAN12LS,98,1853.374267578125,0.7130781362531248,False,439,440
ROSENBR,2,2.0520474208751693e-11,9.059906005859375e-06,True,46,48
BOXBODLS,2,9750.34765625,21.137039224101784,False,21,22
EGGCRATE,2,9.488197326660156,0.0028050596879168016,False,20,21
DENSCHNE,3,4.958635097983856e-17,1.408351540567588e-08,True,45,47
STREG,4,8.452228237300125e+19,13001713807.033287,False,999,1001
