problem,prob_dim,funcvals,gradnorm,success,nits,11
HIMMELBB,2,0.0,0.0,True,15,17
CLIFF,2,0.62548828125,1.4111095809344174,False,47,48
ERRINRSM,50,39.40625,6.753356739147512,False,69,70
BEALE,2,0.0,0.0,True,17,19
HILBERTB,10,1.346839306748393e-14,5.62125573033733e-07,True,10,12
JENSMP,2,2018.0,3.287109375001901,False,21,22
HIMMELBH,2,-1.001953125,0.00390625,False,22,23
ENGVAL2,3,0.0,0.0,True,32,34
MUONSINELS,1,50208.0,0.0,True,1,3
HATFLDFLS,3,2.7611851692199707e-05,0.0013967953036529241,False,23,24
ZANGWIL2,2,-16.640625,2.2477059855708,False,12,13
GROWTHLS,3,3544.0,1.572784392030855e-26,True,5,7
SINEVAL,2,4.9155124415278806e-14,3.450264948902732e-06,True,105,107
GAUSS2LS,8,9072.0,16035.493480517052,False,23,24
LSC1LS,3,1090.0,2.902494896383998,False,49,50
ERRINROS,50,41.3125,2.813366171125339,False,63,64
RECIPELS,3,2.467004378559068e-10,2.566126503625705e-07,True,32,34
QING,100,0.2275390625,10.010569293254237,False,44,45
LUKSAN14LS,98,124.8125,4.795413207696104,False,55,56
PRICE4,2,1.4524630387313664e-09,0.00011578158234453683,False,27,28
PALMER6C,8,14.0078125,120.25288459426864,False,33,34
LANCZOS2LS,6,1.2122094631195068e-05,0.002778659868300412,False,33,34
BENNETT5LS,3,2.013671875,502.5023425422459,False,29,30
GULF,3,0.0005207061767578125,0.014634185211692867,False,103,104
PALMER2C,8,2.95703125,845.552657582779,False,40,41
HUMPS,2,70.875,4.3252988326189765,False,31,32
YFITU,3,2.685546875,14.105972437394772,False,112,113
BARD,3,0.00821685791015625,0.004822984375351376,False,32,33
HAIRY,2,501.5,10.593983335372783,False,28,29
MISRA1BLS,2,7.9375,339968.000000025,False,28,29
HATFLDGLS,25,1.5124678611755371e-06,0.0028827862010461147,False,85,86
DENSCHNC,2,0.183349609375,0.01788213062038358,False,27,28
CHWIRUT2LS,3,512.0,2535.3055029254488,False,40,41
CHNRSNBM,50,65.25,7.183784913780873,False,49,50
HATFLDD,3,1.239776611328125e-05,0.008714189764244866,False,23,24
JUDGE,2,20.46875,0.3637777237961696,False,19,20
HIMMELBCLS,2,0.0,0.0,True,8,10
POWERSUM,4,37.53125,14.5,False,23,24
DENSCHND,3,3.3760443329811096e-08,9.830586233619326e-06,True,60,62
POWELLSQLS,2,1.1704605667625342e-21,8.001412032943023e-16,True,21,23
MARATOSB,2,0.9775390625,123.03073108380534,False,28,29
LSC2LS,3,15.0,0.019236050394133015,False,40,41
WATSON,12,4.088878631591797e-05,0.01698903222443948,False,53,54
PALMER1C,8,202.875,10427.192401937538,False,49,50
BROWNBS,2,960462061568.0,2135267.6866603866,False,23,24
SENSORS,100,-1024.0,280.7914342358981,False,20,21
SSI,3,0.00815582275390625,0.00839448727813217,False,79,80
MISRA1DLS,2,1.0087890625,83584.00000003527,False,30,31
TRIGON1,10,0.0,0.0,True,29,31
EXP2,2,5.154870450496674e-07,0.0001755100844429887,False,28,29
S308,2,0.77294921875,0.028725715000161578,False,25,26
POWELLBSLS,2,0.1351318359375,0.7835281724958756,False,20,21
MISRA1ALS,2,19.9375,123904.00000006962,False,28,29
GAUSSIAN,3,2.9001384973526e-06,0.006381564004349265,False,7,8
LUKSAN17LS,100,284.5,690.290113864771,False,34,35
ALLINITU,4,5.73828125,0.09347525710881377,False,28,29
WAYSEA1,2,1.52587890625e-05,0.017469281074217108,False,57,58
HATFLDE,3,5.412101745605469e-05,0.01719965058230145,False,25,26
LUKSAN11LS,100,389.0,9.131605709805667,False,19,20
RAT43LS,4,1076224.0,2.5,False,25,26
SNAIL,2,13.921875,0.0793704947841349,False,25,26
DANIWOODLS,2,0.0034313201904296875,0.01247568149119473,False,33,34
RAT42LS,3,18208.0,9.238194727152214e-22,True,4,6
CHNROSNB,50,40.4375,2.8690912568355045,False,93,94
KIRBY2LS,5,607.5,237152.07222918727,False,57,58
BRKMCC,2,0.1689453125,0.01453610902988691,False,16,17
LUKSAN21LS,100,98.1875,0.742148307970145,False,26,27
HIMMELBG,2,1.4654943925052066e-14,3.60806824094499e-07,True,14,16
LUKSAN16LS,100,3.98046875,102.77875445802178,False,38,39
PALMER5C,6,2.06640625,0.15733561080897943,False,28,29
MANCINO,100,32096.0,498683.8757315663,False,46,47
THURBERLS,7,998912.0,47239.66817199291,False,39,40
CLUSTERLS,2,8.119968697428703e-09,3.662331736672083e-06,True,19,21
PALMER4C,8,5.640625,872.6702360579137,False,39,40
LANCZOS1LS,6,0.0003218650817871094,0.02200893194077012,False,34,35
DEVGLA2,5,,,False,31,33
CHWIRUT1LS,3,2374.0,40257.75946188045,False,38,39
PALMER3C,8,7.7109375,1668.8918568320762,False,34,35
LANCZOS3LS,6,0.0002741813659667969,0.019700004748968745,False,33,34
WAYSEA2,2,7.855892181396484e-05,0.02768886704358409,False,43,44
EXPFIT,2,0.2398681640625,0.047651847260765046,False,29,30
DEVGLA1,4,,,False,0,2
BOX3,3,1.1213123798370361e-06,0.00020902661639453932,False,24,25
MEXHAT,2,0.0220947265625,43.71875,False,35,36
PALMER8C,8,20.3125,31.41063490285751,False,36,37
BROWNDEN,4,85760.0,661.4644626520479,False,42,43
LOGHAIRY,2,6.55078125,0.0017393054166199885,False,6,7
HILBERTA,2,2.5743296383495817e-15,2.020971328105487e-08,True,11,13
ELATVIDU,2,54.6875,0.2688226645950821,False,26,27
DENSCHNB,2,0.0,0.0,True,12,14
MGH17LS,5,1.1044921875,0.033447265880525136,False,25,26
DENSCHNF,2,7.62939453125e-05,0.21577090781023245,False,25,26
DENSCHNA,2,1.6417422976644502e-14,3.371747880871523e-07,True,11,13
GAUSS3LS,8,18848.0,8225.620128420125,False,22,23
HIMMELBF,4,315.5,26.105055688595147,False,36,37
PRICE3,2,0.0,0.0,True,23,25
MGH09LS,4,0.007297515869140625,0.001610082382087892,False,26,27
BIGGS6,6,0.04901123046875,0.02476322541616019,False,36,37
CUBE,2,0.0,0.0,True,46,48
LUKSAN15LS,100,3.634765625,11.132778185072098,False,46,47
KOWOSB,4,0.0003311634063720703,0.0018768924036129651,False,38,39
HATFLDFL,3,6.538629531860352e-05,0.017734284705954128,False,15,16
PALMER7C,8,6.2578125,1418.3930361078303,False,42,43
PALMER5D,4,86.1875,6.828364387697953,False,35,36
GAUSS1LS,8,7344.0,57973.18645115476,False,22,23
LUKSAN12LS,98,1918.0,60.97715634845556,False,118,119
ROSENBR,2,2.1457672119140625e-06,0.0029296875,False,60,61
BOXBODLS,2,9744.0,30.99345082659601,False,22,23
EGGCRATE,2,9.484375,0.11422013207576592,False,19,20
DENSCHNE,3,0.9990234375,0.016055927795211446,False,24,25
STREG,4,9.7998327891582e+19,13998674179.57711,False,24,25
